"CÓDIGO SIGEP","NOMBRE DE LA ENTIDAD","NIT","ORDEN","SUBORDEN","REGIÓN PND","CÓDIGO DIVIPOLA DEPARTAMENTO","DEPARTAMENTO","CÓDIGO DIVIPOLA MUNICIPIO","MUNICIPIO","CLASIFICACIÓN ORGÁNICA","SECTOR","NIVEL","TIPO DE VINCULACIÓN","NATURALEZA JURÍDICA","LONGITUD","LATITUD","AÑO","MES","FUENTE","GENERO: HOMBRE","GENERO: MUJER","NIVEL EDUCATIVO: PRIMARIA","NIVEL EDUCATIVO: SECUNDARIA","NIVEL EDUCATIVO: TÉCNICA-TECNOLÓGICA","NIVEL EDUCATIVO: PROFESIONAL","NIVEL EDUCATIVO: ESPECIALIZACIÓN","NIVEL EDUCATIVO: MAESTRÍA","NIVEL EDUCATIVO: DOCTORADO","NIVEL EDUCATIVO: SIN DATOS","EDAD: MENOR O IGUAL A 29","EDAD: 30-39","EDAD: 40-49","EDAD: 50-62","EDAD: 63 Y MAS","EXPERIENCIA LABORAL: MENOR A 1 AÑO","EXPERIENCIA LABORAL: DE 1 A 10 AÑOS","EXPERIENCIA LABORAL: DE 11 A 20 AÑOS","EXPERIENCIA LABORAL: DE 21 A 30 AÑOS","EXPERIENCIA LABORAL: DE 31 A 40 AÑOS","EXPERIENCIA LABORAL: MAYOR A 40 AÑOS","EXPERIENCIA LABORAL: SIN DATOS","SALARIO MENSUAL PROMEDIO"
"3420","HOSPITAL LAUREANO PINO - SAN JOSE DE LA MONTAÑA","890984427","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","6","0","1","0","2","0","0","0","1","1","1","1","3","0","2","1","1","0","1","1","1","2,680,345,500,000"
"3421","HOSPITAL LAZARO ALFONSO HERNANDEZ LARA - SAN ALBERTO","824000586","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","4","18","0","5","0","4","0","0","0","0","1","6","4","8","3","0","10","2","4","4","2","0","2,406,014,863,636"
"3422","HOSPITAL LOCAL MUNICIPIO DE LOS PATIOS","807004393","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","3","9","0","3","0","1","0","0","0","0","1","1","2","6","2","0","2","3","5","2","0","0","2,301,789,416,666"
"3423","HOSPITAL LOCAL OBANDO","891901041","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","18","0","3","0","1","0","0","0","12","1","6","3","8","1","16","1","2","0","0","0","15","1,710,474,947,368"
"3424","HOSPITAL LOCAL TURBACO","806005602","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","24","33","1","12","0","12","0","0","0","20","0","2","10","22","23","22","5","16","10","3","1","21","1,728,905,473,684"
"3426","HOSPITAL LOCAL  MATERNO INFANTIL YOTOCO","890309115","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","2","26","1","9","0","6","0","0","0","10","1","10","10","5","2","14","7","0","4","2","1","12","1,673,755,285,714"
"3427","HOSPITAL LOCAL  PEDRO SAENZ DIAZ   - ULLOA","891902036","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","9","0","4","0","2","0","0","0","2","0","2","1","6","0","4","2","0","2","1","0","4","1,470,143,777,777"
"3430","HOSPITAL LOCAL BARANOA","890103002","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","7","12","0","2","0","6","0","0","0","8","0","0","1","12","6","9","0","0","5","3","2","9","2,937,217,894,736"
"3433","HOSPITAL LOCAL CARTAGENA DE INDIAS - CARTAGENA DE INDIAS","806010305","TERRITORIAL",,,,,,,"DISTRITAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0"
"3435","HOSPITAL LOCAL DE AGUACHICA E.S.E.","824000785","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","20","30","1","14","0","6","0","0","0","0","0","1","7","30","12","0","8","7","22","9","4","0","2,600,676,240,000"
"3437","HOSPITAL LOCAL DE ARENAL MANUELA PABUENA LOBO - ARENAL","806007809","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","6","11","1","6","0","4","0","0","0","4","2","2","7","4","2","6","2","5","3","0","1","6","1,787,900,529,411"
"3438","HOSPITAL LOCAL DE ARJONA","806007923","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","17","32","1","15","0","23","0","0","0","2","4","3","19","11","12","9","15","9","8","2","6","8","2,343,749,040,816"
"3440","HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ","800227877","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","20","74","0","19","0","14","0","0","0","40","4","29","31","20","10","59","18","9","5","3","0","39","3,001,156,727,272"
"3444","HOSPITAL LOCAL DE EL RETEN","819001796","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","8","13","0","0","0","2","0","0","0","14","2","0","5","6","8","15","2","2","2","0","0","15","1,811,041,333,333"
"3445","EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN CRISOSTOMO (GONZALEZ CESAR)","824000472","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","2","2","0","0","0","2","0","0","0","1","0","2","0","2","0","2","1","0","0","1","0","2","2,146,718,000,000"
"3447","HOSPITAL LOCAL DE MALAMBO","802009806","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","7","20","0","6","0","6","0","0","0","3","1","0","2","15","9","6","1","3","11","3","3","5","3,514,983,000,000"
"3448","HOSPITAL LOCAL DE PIEDECUESTA","900066345","TERRITORIAL",,,,,,,"DEPARTAMENTAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","2","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","4,176,334,000,000"
"3451","HOSPITAL LOCAL DE SABANAS DE SAN ANGEL","819003599","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","2","5","0","0","0","3","0","0","0","1","0","0","4","3","0","1","0","1","5","0","0","1","4,155,422,500,000"
"3452","HOSPITAL LOCAL DE SAN CARLOS DE GUAROA","900077520","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","6","11","1","2","0","7","0","0","0","0","4","6","5","1","1","4","6","7","0","0","0","0","1,971,745,588,235"
"3459","HOSPITAL LOCAL DEL RIO DE ORO","824000449","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","3","14","0","0","0","0","0","0","0","14","0","5","3","4","5","15","1","1","0","0","0","14","2,337,088,235,294"
"3461","HOSPITAL LOCAL LA CANDELARIA - RIOVIEJO","806008153","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","10","9","0","6","0","6","0","0","0","6","3","4","5","5","2","5","5","4","5","0","0","5","1,987,439,315,789"
"3463","HOSPITAL LOCAL LURUACO","890103025","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","11","21","2","8","0","4","0","0","0","0","1","5","9","14","3","0","14","13","1","3","1","0","1,952,069,750,000"
"3465","HOSPITAL LOCAL MONTELIBANO","812000344","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","8","9","1","1","0","11","0","0","0","0","5","2","3","5","2","5","4","1","2","3","2","2","2,571,142,470,588"
"3466","HOSPITAL LOCAL NIVEL I NUESTRA SEÑORA DEL SOCORRO -SINCE","823000624","TERRITORIAL",,,,,,,"DEPARTAMENTAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","12","14","0","2","0","1","0","0","0","20","0","0","3","17","6","20","1","0","2","3","0","20","2,425,749,807,692"
"3469","HOSPITAL LOCAL PRIMER NIVEL - FUENTEDEORO","822001570","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","2","7","0","4","0","3","0","0","0","1","3","1","1","4","0","3","1","2","1","2","0","1","2,669,863,888,888"
"3470","HOSPITAL LOCAL PUERTO ASIS - PUERTO ASIS","846000253","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","7","33","0","19","0","6","0","0","0","1","0","4","11","21","4","4","9","10","10","7","0","4","2,928,615,000,000"
"3471","HOSPITAL LOCAL -PUERTO LOPEZ","800037979","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","7","15","0","3","0","8","0","0","0","0","6","4","3","8","1","4","5","5","3","4","1","0","2,481,411,136,363"
"3472","HOSPITAL LOCAL SAN BENITO ABAD - SUCRE","823002356","TERRITORIAL",,,,,,,"DEPARTAMENTAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","6","10","0","2","0","3","0","0","0","9","0","6","2","3","5","10","2","3","0","0","1","10","2,145,857,687,500"
"3473","HOSPITAL LOCAL SAN FERNANDO - SAN FERNANDO","806007689","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","2","6","0","0","0","1","0","0","0","5","0","1","2","3","2","6","2","0","0","0","0","6","1,472,581,625,000"
"3475","HOSPITAL LOCAL SAN JUAN DE PUERTO RICO - TIQUISIO","806007567","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","9","9","0","0","0","4","0","0","0","12","4","9","3","1","1","13","4","1","0","0","0","12","3,150,152,777,777"
"3476","HOSPITAL LOCAL SAN MARTIN DE LOBA","806007769","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","8","16","1","6","0","1","0","0","0","1","0","5","9","8","2","4","8","11","1","0","0","4","1,978,949,833,333"
"3477","HOSPITAL LOCAL SAN PABLO - SAN PABLO","829000940","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","4","14","0","0","0","2","0","0","0","13","0","7","0","6","5","13","4","1","0","0","0","13","2,746,575,722,222"
"3478","HOSPITAL LOCAL SAN SEBASTIAN - MORALES","806007002","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","6","15","0","3","0","3","0","0","0","10","0","3","6","8","4","11","1","8","1","0","0","11","1,587,932,714,285"
"3479","HOSPITAL LOCAL SAN SEBASTIAN DEL MUNICIPIO DE ZAMBRANO - ZAMBRANO","806006914","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","9","11","0","0","0","1","0","0","0","19","0","5","4","6","5","19","0","1","0","0","0","19","1,985,741,700,000"
"3480","HOSPITAL LOCAL SANTA BARBARA DE PINTO - SANTA BARBARA DE PINTO","819004347","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","9","0","0","0","4","0","0","0","0","0","3","2","2","3","0","3","0","6","1","0","0","1,991,477,100,000"
"3481","HOSPITAL LOCAL SANTA CATALINA DE ALEJANDRIA","806013609","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","6","14","1","3","0","3","0","0","0","8","2","6","0","5","7","10","2","2","3","0","3","9","1,854,058,800,000"
"3482","HOSPITAL LOCAL SANTA MARIA - SANTA CRUZ DE MOMPOX","806007257","TERRITORIAL",,,,,,,"DISTRITAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","12","27","1","12","0","4","0","0","0","19","0","1","11","14","13","20","2","7","7","1","2","20","1,693,279,461,538"
"3483","HOSPITAL LOCAL SANTA RITA DE CASSIA","825000834","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","2","4","0","0","0","0","0","0","0","5","0","1","0","3","2","4","0","1","0","1","0","4","2,216,161,500,000"
"3489","HOSPITAL LUISA SANTIAGA MARQUEZ IGUARAN","819001712","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","13","29","0","10","0","11","0","0","0","7","0","6","5","19","12","9","1","15","6","8","3","8","2,150,893,000,000"
"3490","HOSPITAL MANUEL ELKIN PATARROYO - SANTA ROSA DEL SUR","829001256","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","24","70","2","12","0","29","0","0","0","1","13","24","34","20","3","5","26","35","19","5","4","4","2,445,197,761,904"
"3491","HOSPITAL MARCO FELIPE AFANADOR DE TOCAIMA - TOCAIMA","890680033","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","17","27","1","9","0","22","0","0","0","0","10","3","7","19","5","11","5","9","3","13","3","0","2,968,276,815,789"
"3494","HOSPITAL MATERNO INFANTIL CIUDADELA  METROPOLITANA - SOLEDAD","802013023","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","27","30","0","7","0","12","0","0","0","0","0","3","21","21","12","0","9","18","23","6","1","0","3,479,250,087,719"
"3495","HOSPITAL MENTAL DE ANTIOQUIA - HOMO","890905166","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","56","70","0","15","0","25","0","0","0","1","1","28","44","48","5","0","22","56","28","12","8","0","2,598,142,515,873"
"3496","HOSPITAL MENTAL DE RISARALDA -PEREIRA","891412134","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","11","18","0","8","0","5","0","0","0","4","1","5","7","15","1","6","10","5","2","4","2","4","2,668,247,034,482"
"3498","HOSPITAL MENTAL RUDESINDO SOTO","890500810","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","6","10","0","5","0","5","0","0","0","1","0","5","5","6","0","0","4","10","2","0","0","0","2,372,442,625,000"
"3500","HOSPITAL MUNICIPAL DE ACACIAS","892000264","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","2","6","0","0","0","4","0","0","0","0","0","0","4","4","0","0","3","2","3","0","0","0","4,356,413,875,000"
"3501","HOSPITAL MUNICIPAL DE EL DORADO","900081643","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","3","0","1","0","2","0","0","0","1","0","0","1","2","1","0","0","1","3","0","0","0","1,993,585,000,000"
"3502","HOSPITAL MUNICIPAL NUESTRA SEÑORA DE GUADALUPE","813007875","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","2","11","0","3","0","1","0","0","0","2","1","2","2","8","0","1","2","4","2","4","0","0","0"
"3503","HOSPITAL NIVEL I EL BORDO","891500736","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","8","12","0","11","0","1","0","0","0","3","0","3","2","13","2","4","2","1","4","7","2","4","2,054,940,400,000"
"3505","HOSPITAL NUESTRA SEÑORA DE GUADALUPE - SANTANDER","900186802","TERRITORIAL",,,,,,,"DEPARTAMENTAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","2","0","0","0","0","3,428,638,500,000"
"3509","HOSPITAL NUESTRA SEÑORA DEL CARMEN - HATO NUEVO","825000620","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","3","6","1","3","0","0","0","0","0","3","0","1","3","5","0","1","1","4","3","0","0","1","1,375,549,888,888"
"3510","HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO DE URIBIA, GUAJIRA","800061765","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","8","10","2","4","0","3","0","0","0","4","0","0","2","11","5","0","2","3","5","5","3","0","2,588,423,944,444"
"3511","EMPRESA SOCIAL DEL ESTADO REGIÓN DE SALUD MEDINA","892001990","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","3","20","0","1","0","9","0","0","0","0","7","1","5","9","1","5","7","2","1","7","1","1","2,452,581,086,956"
"3512","HOSPITAL NUESTRA SEÑORA SANTA ANA","819000626","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","NO APLICA","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","5,769,000,000"
"3515","HOSPITAL PILOTO  JAMUNDI - JAMUNDI","890306950","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","19","76","1","30","0","15","0","0","0","2","0","22","32","32","9","1","49","24","13","6","2","0","2,853,214,033,707"
"3517","EMPRESA SOCIAL DEL ESTADO HOSPITAL PSIQUIATRICO SAN CAMILO","890200500","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","35","68","1","27","0","10","0","0","0","0","6","23","26","41","7","23","29","19","19","9","4","1","3,759,493,934,782"
"3519","HOSPITAL RAFAEL PABA MANJARREZ - SAN SEBASTIAN","819000736","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","7","26","0","10","0","9","0","0","0","11","5","4","6","15","3","8","10","3","8","3","1","7","3,756,365,909,090"
"3522","HOSPITAL REGIONAL  CESAR URIBE PIEDRAHITA  -CAUCASIA","890980757","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","14","41","0","6","0","16","0","0","0","0","6","10","9","24","6","5","14","10","16","8","2","0","4,215,619,090,909"
"3525","NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FRANCISCO DE ASIS","901108114","TERRITORIAL",,,,,,,"DEPARTAMENTAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","35","183","0","28","0","26","0","0","0","127","1","31","82","79","25","151","30","17","16","4","0","137","2,396,185,522,935"
"3526","HOSPITAL REGIONAL SAN JUAN DE DIOS - SANTAFE DE ANTIOQUIA","890982264","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","39","125","0","16","0","32","0","0","0","12","8","58","52","39","7","24","75","34","18","10","3","17","2,408,603,359,756"
"3527","EMPRESAS SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS","890907254","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","12","37","0","10","0","11","0","0","0","4","0","9","14","26","0","9","10","7","11","12","0","7","2,459,796,265,306"
"3530","HOSPITAL REGIONAL  SAN RAFAEL  -YOLOMBO","890981536","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","6,613,042,500,000"
"3531","HOSPITAL REGIONAL  SAN VICENTE DE PAUL  - CALDAS","890907215","TERRITORIAL",,,,,,,"NO APLICA","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","20","39","0","12","0","29","0","0","0","0","10","26","13","10","0","4","35","14","1","4","1","0","4,499,571,017,241"
"3532","HOSPITAL UNIVERSITARIO DE SINCELEJO  -SINCELEJO","892280033","TERRITORIAL",,,,,,,"DEPARTAMENTAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","26","72","0","14","0","30","0","0","1","6","0","11","20","44","23","5","26","32","13","15","7","5","3,401,462,163,265"
"3535","HOSPITAL REGIONAL DE CHIQUINQUIRA","820005389","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","2","0","0","0","2","0","0","0","0","1","2","0","0","0","0","3","0","0","0","0","0","3,073,000,000,000"
